Games,Publishers,Price,Lifetime Sales
God of war Ragnarok,Santa Monica Studios,2000,15000000
Red Dead Redemption 2,Rockstar Games,3500,67000000
Sekiro:Shadows Die Twice,FromSoftware,4000,5000000
Gta V,Rockstar Games,2030,20000000
Spiderman Mile Morales,Insominiac Studios,2000,14400000
Black Myth: Wukong,Game Science,4000,20000000
Tekken 8,Bandai Namko,3770,2000000
Jump Force,Bandai Namko,3000,2000000
Assassins Creed Mirage,Ubisoft Games,1500,5000000
Uncharted 4: A Thief's End,Naughty Dogs,1600,6000000
Last Of Us Remastered,Naughty Dogs,1000,10000000
Star Wars Jedi Fallen Order,Respawn Entertainment,3500,20000000
Devil May Cry 5,Capcom Games,2500,7000000
Horizon Forbidden West,Guerilla Games,1900,10000000
Ghost Of Tsushima,Sucker Punch Productions,2300,10000000
Watch Dogs 2,Ubisoft Games,1400,12000000
Days Gone,Sony Interactive Entertainment,1000,9000000
Resident Evil 4,Capcom Games,2500,9000000
Alan Wake 2,Remedy Entertainment,3200,3000000
Deathloop,Bethesda Softworks,1500,5000000
